Mailbox ID,Stop Time
1041,01:26
1042,00:53
1058,00:50
1056,00:30
1054,00:12
1055,02:07
1043,01:32
1036,00:58
1030,00:37
1032,00:58
1044,00:50
1167,02:37
1004,00:34
1148,00:44
1006,00:51
1014,00:38
1005,00:41
1028,00:04
1034,01:38
1033,01:00
1038,00:40
