Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.1591367,33.3456269,00:01:23
35.1591367,33.3456269,00:01:24
35.1585812,33.3454251,00:01:25
35.1585812,33.3454251,00:01:26
35.1585812,33.3454251,00:01:27
35.1585812,33.3454251,00:01:28
35.1585812,33.3454251,00:01:29
35.1579988,33.3451636,00:01:30
35.1579988,33.3451636,00:01:31
35.1579988,33.3451636,00:01:32
35.1579988,33.3451636,00:01:33
35.1579988,33.3451636,00:01:34
35.1573355,33.3449586,00:01:35
35.1573355,33.3449586,00:01:36
35.1573355,33.3449586,00:01:37
35.1573355,33.3449586,00:01:38
35.1573355,33.3449586,00:01:39
35.1566815,33.3447131,00:01:40
35.1566815,33.3447131,00:01:41
35.1566815,33.3447131,00:01:42
35.1566815,33.3447131,00:01:43
35.1566815,33.3447131,00:01:44
35.1560869,33.3445233,00:01:45
35.1560869,33.3445233,00:01:46
35.1560869,33.3445233,00:01:47
35.1560869,33.3445233,00:01:48
35.1560869,33.3445233,00:01:49
35.1554862,33.3443051,00:01:50
35.1554862,33.3443051,00:01:51
35.1554862,33.3443051,00:01:52
35.1554862,33.3443051,00:01:53
35.1554862,33.3443051,00:01:54
35.1549168,33.3440827,00:01:55
35.1549168,33.3440827,00:01:56
35.1549168,33.3440827,00:01:57
35.1549168,33.3440827,00:01:58
35.1549168,33.3440827,00:01:59
35.154425,33.3439341,00:02:00
35.154425,33.3439341,00:02:01
35.154425,33.3439341,00:02:02
35.154425,33.3439341,00:02:03
35.154425,33.3439341,00:02:04
35.1539132,33.3437996,00:02:05
35.1539132,33.3437996,00:02:06
35.1539132,33.3437996,00:02:07
35.1539132,33.3437996,00:02:08
35.1539132,33.3437996,00:02:09
35.1533572,33.3436639,00:02:10
35.1533572,33.3436639,00:02:11
35.1533572,33.3436639,00:02:12
35.1533572,33.3436639,00:02:13
35.1533572,33.3436639,00:02:14
35.152818,33.3435244,00:02:15
35.152818,33.3435244,00:02:16
35.152818,33.3435244,00:02:17
35.152818,33.3435244,00:02:18
35.152818,33.3435244,00:02:19
35.1522331,33.3433007,00:02:20
35.1522331,33.3433007,00:02:21
35.1522331,33.3433007,00:02:22
35.1522331,33.3433007,00:02:23
35.1522331,33.3433007,00:02:24
35.1516647,33.3431327,00:02:25
35.1516647,33.3431327,00:02:26
35.1516647,33.3431327,00:02:27
35.1516647,33.3431327,00:02:28
35.1516647,33.3431327,00:02:29
35.1512347,33.3429505,00:02:30
35.1512347,33.3429505,00:02:31
35.1512347,33.3429505,00:02:32
35.1512347,33.3429505,00:02:33
35.1512347,33.3429505,00:02:34
35.1507885,33.3428453,00:02:35
35.1507885,33.3428453,00:02:36
35.1507885,33.3428453,00:02:37
35.1507885,33.3428453,00:02:38
35.1507885,33.3428453,00:02:39
35.1502973,33.3426313,00:02:40
35.1502973,33.3426313,00:02:41
35.1502973,33.3426313,00:02:42
35.1502973,33.3426313,00:02:43
35.1502973,33.3426313,00:02:44
35.1498338,33.3424416,00:02:45
35.1498338,33.3424416,00:02:46
35.1498338,33.3424416,00:02:47
35.1498338,33.3424416,00:02:48
35.1498338,33.3424416,00:02:49
35.1493529,33.342157,00:02:50
35.1493529,33.342157,00:02:51
35.1493529,33.342157,00:02:52
35.1493529,33.342157,00:02:53
35.1493529,33.342157,00:02:54
35.1488568,33.3418609,00:02:55
35.1488568,33.3418609,00:02:56
35.1488568,33.3418609,00:02:57
35.1488568,33.3418609,00:02:58
35.1488568,33.3418609,00:02:59
35.1483031,33.3416336,00:03:00
35.1483031,33.3416336,00:03:01
35.1483031,33.3416336,00:03:02
35.1483031,33.3416336,00:03:03
35.1483031,33.3416336,00:03:04
35.1478666,33.3414615,00:03:05
35.1478666,33.3414615,00:03:06
35.1478666,33.3414615,00:03:07
35.1478666,33.3414615,00:03:08
35.1478666,33.3414615,00:03:09
35.1475312,33.3413355,00:03:10
35.1475312,33.3413355,00:03:11
35.1475312,33.3413355,00:03:12
35.1475312,33.3413355,00:03:13
35.1475312,33.3413355,00:03:14
35.1471229,33.3410667,00:03:15
35.1471229,33.3410667,00:03:16
35.1471229,33.3410667,00:03:17
35.1471229,33.3410667,00:03:18
35.1471229,33.3410667,00:03:19
35.1467222,33.340793,00:03:20
35.1467222,33.340793,00:03:21
35.1467222,33.340793,00:03:22
35.1467222,33.340793,00:03:23
35.1467222,33.340793,00:03:24
35.1465349,33.3404675,00:03:25
35.1465349,33.3404675,00:03:26
35.1465349,33.3404675,00:03:27
35.1465349,33.3404675,00:03:28
35.1465349,33.3404675,00:03:29
35.1464599,33.3404494,00:03:30
35.1464599,33.3404494,00:03:31
35.1464599,33.3404494,00:03:32
35.1464585,33.3404494,00:03:33
35.1464585,33.3404494,00:03:34
35.1464858,33.3404969,00:03:35
35.1464858,33.3404969,00:03:36
35.1464858,33.3404969,00:03:37
35.1464858,33.3404969,00:03:38
35.1464858,33.3404969,00:03:39
35.1464918,33.3404721,00:03:40
35.1464918,33.3404721,00:03:41
35.1464918,33.3404721,00:03:42
35.1464918,33.3404721,00:03:43
35.1464918,33.3404721,00:03:44
35.1464887,33.3404747,00:03:45
35.1464887,33.3404747,00:03:46
35.1464887,33.3404747,00:03:47
35.1464887,33.3404747,00:03:48
35.1464887,33.3404747,00:03:49
35.1464851,33.3404755,00:03:50
35.1464851,33.3404755,00:03:51
35.1464851,33.3404755,00:03:52
35.1464851,33.3404755,00:03:53
35.1464851,33.3404755,00:03:54
35.1464804,33.3404772,00:03:55
35.1464804,33.3404772,00:03:56
35.1464804,33.3404772,00:03:57
35.1464804,33.3404772,00:03:58
35.1464822,33.3404719,00:00:00
35.1463082,33.3403246,00:00:01
35.1463082,33.3403246,00:00:02
35.1463082,33.3403246,00:00:03
35.1463082,33.3403246,00:00:04
35.1463082,33.3403246,00:00:05
35.1461738,33.3404392,00:00:06
35.1461738,33.3404392,00:00:07
35.1461738,33.3404392,00:00:08
35.1461738,33.3404392,00:00:09
35.1461738,33.3404392,00:00:10
35.1461174,33.3406731,00:00:11
35.1461174,33.3406731,00:00:12
35.1461174,33.3406731,00:00:13
35.1461174,33.3406731,00:00:14
35.1461174,33.3406731,00:00:15
35.1462612,33.3408077,00:00:16
35.1462612,33.3408077,00:00:17
35.1462612,33.3408077,00:00:18
35.1462612,33.3408077,00:00:19
