Journey:1,Start Time:,11:14:39
Lat,Lng,Time
35.1607728,33.3469929,00:00:00
35.1606872,33.3469329,00:00:01
35.1606872,33.3469329,00:00:02
35.1606872,33.3469329,00:00:03
35.1606872,33.3469329,00:00:04
35.1606872,33.3469329,00:00:05
35.1605453,33.3468637,00:00:06
35.1605453,33.3468637,00:00:07
35.1605453,33.3468637,00:00:08
35.1605453,33.3468637,00:00:09
35.1605453,33.3468637,00:00:10
35.1602632,33.3467986,00:00:11
35.1602632,33.3467986,00:00:12
35.1602632,33.3467986,00:00:13
35.1602632,33.3467986,00:00:14
35.1602632,33.3467986,00:00:15
35.1601535,33.346624,00:00:16
35.1601535,33.346624,00:00:16
35.1601535,33.346624,00:00:17
35.1601535,33.346624,00:00:19
35.1601535,33.346624,00:00:20
35.1601535,33.346624,00:00:21
35.1600549,33.346633,00:00:22
35.1600549,33.346633,00:00:23
35.1600549,33.346633,00:00:24
35.1600549,33.346633,00:00:25
35.1598881,33.3468734,00:00:26
35.1598881,33.3468734,00:00:27
35.1598881,33.3468734,00:00:28
35.1598881,33.3468734,00:00:29
35.1598881,33.3468734,00:00:30
35.1599948,33.3466886,00:00:31
35.1599948,33.3466886,00:00:32
35.1599948,33.3466886,00:00:33
35.1599948,33.3466886,00:00:34
35.1599948,33.3466886,00:00:35
35.1599948,33.3466886,00:00:36
35.1598867,33.3467606,00:00:37
35.1598867,33.3467606,00:00:38
35.1598867,33.3467606,00:00:39
35.1598867,33.3467606,00:00:40
35.1598867,33.3467606,00:00:41
35.1598085,33.3470275,00:00:42
35.1598085,33.3470275,00:00:43
35.1598085,33.3470275,00:00:44
35.1598085,33.3470275,00:00:45
35.1598085,33.3470275,00:00:46
35.159626,33.3474029,00:00:47
35.159626,33.3474029,00:00:48
35.159626,33.3474029,00:00:49
35.159626,33.3474029,00:00:50
35.1595925,33.347803,00:00:51
35.1595925,33.347803,00:00:52
35.1595925,33.347803,00:00:53
35.1595925,33.347803,00:00:54
35.1595925,33.347803,00:00:55
35.1597571,33.3483446,00:00:56
35.1597571,33.3483446,00:00:57
35.1597571,33.3483446,00:00:58
35.1597571,33.3483446,00:00:59
35.1597571,33.3483446,00:01:00
35.1597913,33.3487264,00:01:01
35.1597913,33.3487264,00:01:02
35.1597913,33.3487264,00:01:03
35.1597913,33.3487264,00:01:04
35.1597913,33.3487264,00:01:05
35.1596391,33.3494409,00:01:06
35.1596391,33.3494409,00:01:07
35.1596391,33.3494409,00:01:08
35.1596391,33.3494409,00:01:09
35.1596391,33.3494409,00:01:10
35.1593282,33.3496305,00:01:11
35.1593282,33.3496305,00:01:12
35.1593282,33.3496305,00:01:13
35.1593282,33.3496305,00:01:14
35.1593282,33.3496305,00:01:15
35.159047,33.349919,00:01:16
35.1590343,33.3499391,00:01:17
35.1590343,33.3499391,00:01:18
35.1590343,33.3499391,00:01:19
35.1590343,33.3499391,00:01:20
35.1590412,33.3502702,00:01:21
35.1590412,33.3502702,00:01:22
35.1590412,33.3502702,00:01:23
35.1590412,33.3502702,00:01:24
35.1590412,33.3502702,00:01:25
35.1590211,33.3501796,00:01:26
35.1590211,33.3501796,00:01:27
35.1590211,33.3501796,00:01:28
35.1590211,33.3501796,00:01:29
35.1590211,33.3501796,00:01:30
35.1590228,33.3501675,00:01:31
35.1591165,33.3502973,00:01:32
35.1591165,33.3502973,00:01:33
35.1591165,33.3502973,00:01:34
35.1591165,33.3502973,00:01:35
35.1590176,33.350401,00:01:36
35.1590176,33.350401,00:01:37
35.1590176,33.350401,00:01:38
35.1590176,33.350401,00:01:39
35.1590027,33.3504154,00:01:40
35.1587192,33.3505512,00:01:41
35.1587192,33.3505512,00:01:42
35.1587192,33.3505512,00:01:43
35.1587192,33.3505512,00:01:44
35.1587192,33.3505512,00:01:45
35.1583259,33.3507217,00:01:46
35.1583259,33.3507217,00:01:47
35.1583259,33.3507217,00:01:48
35.1583259,33.3507217,00:01:49
35.1583259,33.3507217,00:01:50
35.1580113,33.3508764,00:01:51
35.1580113,33.3508764,00:01:52
35.1580113,33.3508764,00:01:53
35.1580113,33.3508764,00:01:54
35.1580113,33.3508764,00:01:55
35.1577055,33.3509968,00:01:56
35.1577055,33.3509968,00:01:57
35.1577055,33.3509968,00:01:58
35.1577055,33.3509968,00:01:59
35.1577055,33.3509968,00:02:00
35.1575873,33.3510644,00:02:01
35.1575875,33.3510643,00:02:02
35.1575875,33.3510643,00:02:03
35.1575875,33.3510643,00:02:04
35.1575875,33.3510643,00:02:05
35.1575632,33.3510145,00:02:06
35.1575632,33.3510145,00:02:07
35.1575632,33.3510145,00:02:08
35.1575632,33.3510145,00:02:09
35.1575632,33.3510145,00:02:10
35.1575872,33.3510552,00:02:11
35.1575872,33.3510552,00:02:12
35.1575872,33.3510552,00:02:13
35.1575872,33.3510552,00:02:14
35.1575872,33.3510552,00:02:15
35.1575104,33.3511401,00:02:16
35.1575104,33.3511401,00:02:17
35.1575104,33.3511401,00:02:18
35.1575104,33.3511401,00:02:19
35.1575104,33.3511401,00:02:20
35.1574796,33.3511317,00:02:21
35.1574796,33.3511317,00:02:22
35.1574796,33.3511317,00:02:23
35.1574796,33.3511317,00:02:24
35.157478,33.3511312,00:02:25
35.157497,33.3511209,00:02:26
35.157497,33.3511209,00:02:27
35.157497,33.3511209,00:02:28
35.157497,33.3511209,00:02:29
35.157497,33.3511209,00:02:30
35.1574483,33.3510616,00:02:31
35.1574483,33.3510616,00:02:31
35.1574483,33.3510616,00:02:33
35.1574483,33.3510616,00:02:34
35.1574483,33.3510616,00:02:35
35.1574483,33.3510616,00:02:36
35.1572113,33.3511031,00:02:37
35.1572113,33.3511031,00:02:38
35.1572113,33.3511031,00:02:39
35.1572113,33.3511031,00:02:40
35.1572113,33.3511031,00:02:41
35.1570728,33.3508637,00:02:42
35.1570728,33.3508637,00:02:43
35.1570728,33.3508637,00:02:44
35.1570728,33.3508637,00:02:45
35.1570728,33.3508637,00:02:46
35.1568467,33.3505335,00:02:47
35.1568467,33.3505335,00:02:48
35.1568467,33.3505335,00:02:49
35.1568467,33.3505335,00:02:50
35.1568467,33.3505335,00:02:51
35.1568467,33.3505335,00:02:52
35.1565443,33.3502339,00:02:53
35.1565443,33.3502339,00:02:54
35.1565443,33.3502339,00:02:55
35.1565443,33.3502339,00:02:56
35.1565443,33.3502339,00:02:57
35.1560771,33.3498601,00:02:58
35.1560771,33.3498601,00:02:59
35.1560771,33.3498601,00:03:00
35.1560771,33.3498601,00:03:01
35.1556842,33.349797,00:03:02
35.1556842,33.349797,00:03:03
35.1556842,33.349797,00:03:04
35.1556842,33.349797,00:03:05
35.1556842,33.349797,00:03:06
35.1553558,33.3495955,00:03:07
35.1553558,33.3495955,00:03:08
35.1553558,33.3495955,00:03:09
35.1553558,33.3495955,00:03:10
35.1553558,33.3495955,00:03:11
35.154944,33.3496605,00:03:12
35.154944,33.3496605,00:03:13
35.154944,33.3496605,00:03:14
35.154944,33.3496605,00:03:15
35.154944,33.3496605,00:03:16
35.154944,33.3496605,00:03:17
35.1546248,33.3497545,00:03:18
35.1546248,33.3497545,00:03:19
35.1546248,33.3497545,00:03:20
35.1546248,33.3497545,00:03:21
35.1545881,33.349456,00:03:22
35.1545881,33.349456,00:03:23
35.1545881,33.349456,00:03:24
35.1545881,33.349456,00:03:25
35.1545881,33.349456,00:03:26
35.1541737,33.3486569,00:03:27
35.1541737,33.3486569,00:03:27
35.1541737,33.3486569,00:03:28
35.1540541,33.3484421,00:03:30
35.1540541,33.3484421,00:03:31
35.1540541,33.3484421,00:03:32
35.1540541,33.3484421,00:03:33
35.1540541,33.3484421,00:03:34
35.1536973,33.3479807,00:03:35
35.1536973,33.3479807,00:03:36
35.1536973,33.3479807,00:03:37
35.1536973,33.3479807,00:03:38
35.1536973,33.3479807,00:03:39
35.153309,33.3478741,00:03:40
35.153309,33.3478741,00:03:41
35.153309,33.3478741,00:03:42
35.153309,33.3478741,00:03:43
35.153309,33.3478741,00:03:44
35.1530939,33.3477491,00:03:45
35.1530939,33.3477491,00:03:46
35.1530939,33.3477491,00:03:47
35.1530939,33.3477491,00:03:48
35.1530939,33.3477491,00:03:49
