Journey:1,Start Time:,11:10:41
Lat,Lng,Time
35.160732,33.347096,00:00:00
35.160732,33.347096,00:00:01
35.160732,33.347096,00:00:02
35.160732,33.347096,00:00:03
35.1605383,33.3470104,00:00:04
35.1605383,33.3470104,00:00:05
35.1605383,33.3470104,00:00:06
35.1605383,33.3470104,00:00:07
35.1605383,33.3470104,00:00:08
35.1603319,33.3468784,00:00:09
35.1603319,33.3468784,00:00:10
35.1603319,33.3468784,00:00:11
35.1603319,33.3468784,00:00:12
35.1603319,33.3468784,00:00:13
35.1600881,33.346804,00:00:14
35.1600881,33.346804,00:00:15
35.1600881,33.346804,00:00:16
35.1600881,33.346804,00:00:17
35.1600881,33.346804,00:00:18
35.1598569,33.3467378,00:00:19
35.1598569,33.3467378,00:00:20
35.1598569,33.3467378,00:00:21
35.1598569,33.3467378,00:00:22
35.1598569,33.3467378,00:00:23
35.1598497,33.3466006,00:00:24
35.1598497,33.3466006,00:00:25
35.1598497,33.3466006,00:00:26
35.1598497,33.3466006,00:00:27
35.1598914,33.3464027,00:00:28
35.1598914,33.3464027,00:00:29
35.1598914,33.3464027,00:00:30
35.1598914,33.3464027,00:00:31
35.1598914,33.3464027,00:00:32
35.1598674,33.3459288,00:00:33
35.1598674,33.3459288,00:00:33
35.1598674,33.3459288,00:00:35
35.1598674,33.3459288,00:00:36
35.1598674,33.3459288,00:00:37
35.1598674,33.3459288,00:00:38
35.159413,33.3458011,00:00:39
35.159413,33.3458011,00:00:40
35.159413,33.3458011,00:00:41
35.159413,33.3458011,00:00:42
35.1590768,33.3456051,00:00:43
35.1590768,33.3456051,00:00:44
35.1590768,33.3456051,00:00:45
35.1590768,33.3456051,00:00:46
35.1590768,33.3456051,00:00:47
35.1584878,33.3454718,00:00:48
35.1584878,33.3454718,00:00:49
35.1584878,33.3454718,00:00:50
35.1584878,33.3454718,00:00:51
35.1584878,33.3454718,00:00:52
35.15784,33.3451403,00:00:53
35.15784,33.3451403,00:00:54
35.15784,33.3451403,00:00:55
35.15784,33.3451403,00:00:56
35.15784,33.3451403,00:00:57
35.15784,33.3451403,00:00:58
35.1572133,33.3449415,00:00:59
35.1572133,33.3449415,00:01:00
35.1572133,33.3449415,00:01:01
35.1572061,33.3449389,00:01:02
35.1572061,33.3449389,00:01:03
35.1566557,33.344738,00:01:04
35.1566557,33.344738,00:01:05
35.1566557,33.344738,00:01:06
35.1566557,33.344738,00:01:07
35.1566557,33.344738,00:01:08
35.1560946,33.3444619,00:01:09
35.1560946,33.3444619,00:01:10
35.1560946,33.3444619,00:01:11
35.1560946,33.3444619,00:01:12
35.1560946,33.3444619,00:01:13
35.155498,33.3442872,00:01:14
35.155498,33.3442872,00:01:15
35.155498,33.3442872,00:01:16
35.155498,33.3442872,00:01:17
35.155498,33.3442872,00:01:18
35.1549417,33.3440717,00:01:19
35.1549417,33.3440717,00:01:20
35.1549417,33.3440717,00:01:21
35.1549417,33.3440717,00:01:22
35.1549417,33.3440717,00:01:23
35.1544307,33.3439428,00:01:24
35.1544307,33.3439428,00:01:25
35.1544307,33.3439428,00:01:26
35.1544307,33.3439428,00:01:27
35.1544307,33.3439428,00:01:28
35.1538246,33.3437766,00:01:29
35.1538246,33.3437766,00:01:30
35.1538246,33.3437766,00:01:31
35.1538246,33.3437766,00:01:32
35.1538246,33.3437766,00:01:33
35.153203,33.3436285,00:01:34
35.153203,33.3436285,00:01:35
35.153203,33.3436285,00:01:36
35.1531975,33.3436309,00:01:37
35.1531975,33.3436309,00:01:38
35.1525665,33.3434024,00:01:39
35.1525665,33.3434024,00:01:40
35.1525665,33.3434024,00:01:41
35.1525665,33.3434024,00:01:42
35.1525665,33.3434024,00:01:43
35.152052,33.3432018,00:01:44
35.152052,33.3432018,00:01:45
35.152052,33.3432018,00:01:46
35.152052,33.3432018,00:01:47
35.152052,33.3432018,00:01:48
35.1514755,33.3429822,00:01:49
35.1514755,33.3429822,00:01:50
35.1514755,33.3429822,00:01:51
35.1514755,33.3429822,00:01:52
35.1514755,33.3429822,00:01:53
35.1509969,33.3428803,00:01:54
35.1509969,33.3428803,00:01:55
35.1509969,33.3428803,00:01:56
35.1509969,33.3428803,00:01:57
35.1509969,33.3428803,00:01:58
35.1506448,33.3427552,00:01:59
