Journey:1,Start Time:,11:41:10
Lat,Lng,Time
35.159725,33.3469634,00:00:00
35.159725,33.3469634,00:00:00
35.159725,33.3469634,00:00:00
35.159725,33.3469634,00:00:00
35.159725,33.3469634,00:00:04
35.159725,33.3469634,00:00:05
35.159725,33.3469634,00:00:06
35.159725,33.3469634,00:00:07
35.159644,33.3472819,00:00:08
35.159644,33.3472819,00:00:09
35.159644,33.3472819,00:00:10
35.1595097,33.3475655,00:00:11
35.1595097,33.3475655,00:00:12
35.1595097,33.3475655,00:00:13
35.1595097,33.3475655,00:00:14
35.1595097,33.3475655,00:00:15
35.1595454,33.3480055,00:00:16
35.1595454,33.3480055,00:00:17
35.1595454,33.3480055,00:00:18
35.1595454,33.3480055,00:00:19
35.1595454,33.3480055,00:00:20
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1587412,33.3502198,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:21
35.1590493,33.3500928,00:00:58
35.1590493,33.3500928,00:00:59
35.1590493,33.3500928,00:01:00
35.1590493,33.3500928,00:01:01
35.1590493,33.3500928,00:01:02
